Date,Machine_ID,Problem_Type,Service_Status,Cost,Hours
2023-10-18,MCH-4973,Sensor Error,In Progress,3672.62,1
2023-11-14,MCH-9997,Calibration Issue,Pending,19546.84,10
2025-04-14,MCH-2584,Overheating,Cancelled,16631.64,1
2025-11-06,MCH-4735,Power Failure,Pending,22246.4,5
2020-05-12,MCH-6592,Wear and Tear,Completed,39724.9,2
2025-07-06,MCH-5726,Mechanical Jam,Completed,18876.45,6
2024-04-23,MCH-3181,Overheating,In Progress,42169.91,7
2022-09-14,MCH-8905,Wear and Tear,Cancelled,6396.96,8
2020-12-09,MCH-8761,Sensor Error,Completed,19977.94,3
2020-08-21,MCH-3986,Wear and Tear,In Progress,19138.58,8
2024-10-23,MCH-2160,Sensor Error,Pending,14793.61,5
2024-04-09,MCH-3722,Calibration Issue,Cancelled,31702.45,9
2022-08-17,MCH-6768,Wear and Tear,Pending,27152.26,3
2022-01-29,MCH-5654,Overheating,Completed,22100.93,12
2021-10-15,MCH-1732,Leakage,Cancelled,37571.92,9
2023-05-11,MCH-4515,Overheating,In Progress,32735.48,8
2024-05-11,MCH-4871,Mechanical Jam,Cancelled,45846.28,3
2023-10-26,MCH-7335,Software Crash,Completed,27107.95,11
2020-01-25,MCH-9293,Mechanical Jam,Completed,38406.24,3
2021-05-31,MCH-3307,Leakage,In Progress,32894.86,5
2020-11-14,MCH-9810,Overheating,Cancelled,9108.66,12
2024-02-13,MCH-5678,Mechanical Jam,Completed,17268.82,11
2024-02-29,MCH-5269,Leakage,Pending,3784.29,7
2023-12-26,MCH-4273,Mechanical Jam,In Progress,6322.68,3
2023-09-03,MCH-2212,Software Crash,Cancelled,35051.37,12
2024-07-25,MCH-9804,Sensor Error,Cancelled,26740.81,11
2025-05-07,MCH-3871,Power Failure,Pending,36769.52,12
2022-07-14,MCH-5631,Power Failure,Pending,6840.32,8
2023-01-01,MCH-5427,Calibration Issue,Cancelled,32243.08,10
2025-10-14,MCH-3293,Sensor Error,Pending,34585.77,10
2023-06-29,MCH-3655,Leakage,Cancelled,24896.64,4
2022-03-23,MCH-3103,Overheating,Cancelled,35876.64,2
2023-08-09,MCH-6507,Software Crash,In Progress,11851.34,12
2021-02-03,MCH-7258,Software Crash,Completed,12418.08,12
2021-05-05,MCH-1799,Overheating,Completed,41581.26,3
2023-08-29,MCH-1278,Power Failure,Completed,10521.13,8
2023-01-21,MCH-8729,Sensor Error,Completed,5315.85,2
2023-11-28,MCH-2132,Software Crash,Pending,43668.58,9
2022-04-03,MCH-9796,Sensor Error,Completed,33107.59,11
2020-03-19,MCH-4828,Leakage,Pending,11509.55,3
2023-11-10,MCH-6217,Overheating,In Progress,46876.12,1
2020-05-21,MCH-1447,Software Crash,In Progress,12098.61,7
2023-02-24,MCH-3429,Overheating,Completed,26372.12,4
2022-05-11,MCH-3710,Wear and Tear,In Progress,21411.67,9
2020-07-20,MCH-8783,Mechanical Jam,In Progress,46306.98,8
2021-08-02,MCH-4072,Mechanical Jam,Cancelled,38089.84,9
2020-12-07,MCH-2943,Overheating,In Progress,16599.12,1
2021-11-13,MCH-6721,Overheating,In Progress,20961.38,9
2025-12-09,MCH-1218,Software Crash,In Progress,9559.18,5
2023-07-31,MCH-1242,Mechanical Jam,In Progress,23090.36,6
2024-03-08,MCH-6111,Power Failure,Cancelled,9281.26,3
2024-02-09,MCH-5570,Sensor Error,In Progress,15835.34,8
2022-03-31,MCH-2327,Overheating,Pending,47774.38,3
2024-02-05,MCH-5981,Calibration Issue,Cancelled,25146.71,3
2022-04-26,MCH-2925,Software Crash,Pending,11350.43,5
2024-11-25,MCH-3871,Sensor Error,In Progress,12796.33,6
2022-02-07,MCH-1437,Wear and Tear,Pending,38692.2,6
2025-08-11,MCH-1038,Wear and Tear,In Progress,25605.77,10
2025-10-07,MCH-1941,Power Failure,Cancelled,23039.88,8
2022-11-19,MCH-6800,Power Failure,Pending,17921.87,12
2023-11-27,MCH-3066,Calibration Issue,Completed,35274.11,6
2025-03-29,MCH-7650,Leakage,Cancelled,43016.16,2
2022-02-10,MCH-5750,Calibration Issue,Completed,31658.78,6
2021-01-02,MCH-1587,Software Crash,Cancelled,9764.94,6
2025-08-13,MCH-2761,Calibration Issue,In Progress,44695.1,1
2025-09-27,MCH-8837,Wear and Tear,Cancelled,31361.96,2
2024-08-24,MCH-3293,Overheating,In Progress,14606.64,12
2021-08-01,MCH-4494,Sensor Error,Cancelled,43172.32,11
2022-11-09,MCH-6759,Leakage,In Progress,18996.47,3
2020-09-14,MCH-7939,Software Crash,Completed,39956.78,7
2023-08-12,MCH-8019,Calibration Issue,In Progress,20952.03,11
2021-12-17,MCH-9926,Sensor Error,Completed,43780.03,1
2022-08-13,MCH-9505,Leakage,Pending,10154.63,2
2024-10-06,MCH-7546,Mechanical Jam,Completed,6050.15,10
2020-06-07,MCH-5179,Overheating,Cancelled,27990.29,1
2023-12-13,MCH-8673,Software Crash,Cancelled,2050.68,9
2025-02-16,MCH-6638,Software Crash,Completed,14689.92,5
2025-03-16,MCH-8780,Leakage,Cancelled,36732.0,11
2020-05-05,MCH-8655,Calibration Issue,Completed,682.03,1
2024-09-28,MCH-7433,Leakage,Pending,32572.88,4
2021-09-12,MCH-3535,Calibration Issue,Completed,37951.96,4
2024-12-05,MCH-5833,Leakage,In Progress,47021.18,10
2020-09-30,MCH-7697,Sensor Error,Pending,8911.44,10
2025-06-04,MCH-7124,Power Failure,Completed,26530.39,2
2021-04-08,MCH-2019,Overheating,In Progress,47741.38,4
2023-06-02,MCH-1797,Sensor Error,Pending,28328.65,4
2021-12-31,MCH-8117,Leakage,Cancelled,34870.26,11
2021-10-14,MCH-7784,Mechanical Jam,In Progress,24403.6,10
2021-09-09,MCH-5860,Power Failure,Cancelled,37767.58,5
2023-03-12,MCH-7481,Mechanical Jam,Cancelled,39083.02,11
2024-12-12,MCH-9000,Calibration Issue,Cancelled,21685.09,6
2021-09-02,MCH-8802,Sensor Error,Pending,10687.45,3
2022-08-18,MCH-6837,Software Crash,In Progress,47336.67,3
2020-10-02,MCH-3436,Power Failure,In Progress,29986.12,3
2025-05-17,MCH-7373,Software Crash,Pending,45178.08,12
2022-01-31,MCH-2556,Power Failure,Pending,25279.68,12
2020-02-04,MCH-6031,Mechanical Jam,Pending,8227.36,6
2023-07-09,MCH-8980,Mechanical Jam,In Progress,16849.01,7
2021-12-25,MCH-7194,Leakage,In Progress,3090.57,2
2020-03-17,MCH-5744,Power Failure,Completed,789.16,4
2022-01-14,MCH-1562,Software Crash,Cancelled,34657.35,3
2021-11-10,MCH-3948,Mechanical Jam,Completed,1073.66,8
2023-06-16,MCH-6968,Wear and Tear,Pending,23830.21,2
2021-08-03,MCH-1105,Power Failure,Pending,4434.35,10
2025-07-16,MCH-3175,Calibration Issue,Cancelled,2034.93,4
2023-07-24,MCH-6504,Software Crash,Cancelled,32157.67,12
2025-08-04,MCH-3079,Leakage,Cancelled,35990.2,10
2023-12-21,MCH-8370,Leakage,Completed,27314.04,1
2020-03-24,MCH-5230,Software Crash,Pending,6555.26,9
2020-04-28,MCH-1892,Power Failure,Cancelled,1576.73,3
2025-08-23,MCH-4669,Calibration Issue,Completed,9588.86,12
2020-03-01,MCH-7037,Wear and Tear,Cancelled,11242.97,2
2021-10-31,MCH-1036,Sensor Error,Cancelled,46994.02,10
2023-09-28,MCH-9930,Sensor Error,Cancelled,1207.39,3
2022-04-29,MCH-6664,Overheating,Completed,49107.21,12
2025-03-13,MCH-7257,Power Failure,Cancelled,8250.05,8
2025-05-01,MCH-2819,Mechanical Jam,Pending,20335.7,7
2021-06-10,MCH-3959,Leakage,Cancelled,23005.95,10
2024-08-14,MCH-1056,Calibration Issue,Pending,28099.98,1
2021-07-02,MCH-1633,Wear and Tear,Completed,37593.05,1
2024-06-14,MCH-5429,Calibration Issue,In Progress,32977.45,3
2022-10-16,MCH-6931,Power Failure,Pending,40314.94,1
2021-06-16,MCH-4427,Sensor Error,In Progress,581.68,5
2021-05-28,MCH-9118,Wear and Tear,Completed,22748.17,4
2025-11-28,MCH-2986,Mechanical Jam,Completed,4948.96,11
2024-02-12,MCH-3314,Calibration Issue,In Progress,43127.9,11
2024-08-17,MCH-3491,Software Crash,Pending,43285.21,1
2025-09-17,MCH-1841,Overheating,Cancelled,39529.96,3
2024-02-08,MCH-4796,Wear and Tear,Completed,3725.5,5
2022-09-01,MCH-9299,Overheating,Pending,28527.26,8
2022-03-31,MCH-3162,Sensor Error,Pending,11869.13,12
2022-11-28,MCH-7356,Power Failure,Completed,37286.32,1
2021-09-26,MCH-1611,Calibration Issue,In Progress,22651.08,12
2023-03-24,MCH-1437,Software Crash,Completed,15345.41,6
2020-05-25,MCH-2662,Calibration Issue,Cancelled,1757.82,5
2022-12-13,MCH-7755,Overheating,Completed,43944.55,4
2023-10-23,MCH-3202,Software Crash,In Progress,46060.9,6
2021-06-22,MCH-9306,Software Crash,Completed,10799.61,6
2025-06-18,MCH-6720,Mechanical Jam,Pending,6163.1,9
2021-07-30,MCH-3423,Software Crash,Pending,46660.96,3
2022-01-03,MCH-6607,Leakage,Pending,25965.17,10
2025-03-30,MCH-1792,Power Failure,Pending,41821.12,8
2025-05-11,MCH-6764,Calibration Issue,Pending,18525.7,4
2021-09-07,MCH-9473,Leakage,Completed,12134.27,10
2021-06-11,MCH-8626,Calibration Issue,Pending,37529.75,10
2020-06-27,MCH-7387,Mechanical Jam,Completed,18406.99,4
2024-03-27,MCH-9113,Mechanical Jam,Pending,7389.15,7
2025-12-08,MCH-4774,Software Crash,Pending,7031.96,4
2023-04-23,MCH-6175,Leakage,Completed,15504.94,3
2020-01-05,MCH-6222,Mechanical Jam,Pending,1729.11,7
2020-07-18,MCH-6659,Overheating,Cancelled,36644.78,11
2022-06-12,MCH-3131,Calibration Issue,In Progress,37815.59,11
2024-05-15,MCH-3378,Mechanical Jam,Pending,26194.69,2
2023-01-01,MCH-6140,Power Failure,Cancelled,2665.97,2
2021-05-30,MCH-1703,Wear and Tear,In Progress,5444.13,7
2024-09-06,MCH-8185,Power Failure,Cancelled,29587.96,6
2024-01-11,MCH-5927,Sensor Error,Completed,48913.86,7
2022-06-07,MCH-3955,Overheating,Cancelled,43496.96,6
2020-11-23,MCH-3414,Overheating,Cancelled,13256.83,6
2023-09-12,MCH-1690,Power Failure,In Progress,46371.96,10
2023-10-15,MCH-5464,Leakage,In Progress,21844.42,11
2021-01-13,MCH-6002,Sensor Error,Completed,11628.36,11
2021-05-20,MCH-8949,Wear and Tear,Cancelled,21884.66,11
2025-02-11,MCH-9953,Overheating,Cancelled,35451.96,2
2022-01-17,MCH-3334,Leakage,In Progress,29125.28,4
2021-12-22,MCH-3896,Calibration Issue,Cancelled,19531.56,5
2025-08-17,MCH-2183,Software Crash,In Progress,30499.88,11
2020-08-08,MCH-5357,Overheating,In Progress,14331.25,12
2025-09-16,MCH-2654,Power Failure,Completed,26155.07,8
2020-06-01,MCH-4465,Sensor Error,Pending,31745.78,3
2020-01-02,MCH-6381,Calibration Issue,Completed,15480.87,5
2021-01-06,MCH-6884,Calibration Issue,In Progress,1299.19,5
2022-06-25,MCH-6227,Leakage,Pending,15076.38,9
2021-02-10,MCH-8363,Leakage,Pending,8203.21,7
2022-09-26,MCH-8342,Leakage,Completed,9895.25,6
2020-05-07,MCH-6590,Wear and Tear,In Progress,36583.84,8
2021-09-19,MCH-4448,Mechanical Jam,Pending,9477.85,6
2020-03-09,MCH-7048,Sensor Error,Cancelled,38948.37,8
2025-07-20,MCH-4534,Sensor Error,Pending,12764.18,5
2024-09-09,MCH-2156,Leakage,Cancelled,19073.97,9
2024-10-18,MCH-5058,Overheating,Cancelled,27213.82,9
2020-04-19,MCH-8538,Sensor Error,Pending,38349.25,3
2020-12-26,MCH-2883,Calibration Issue,Cancelled,11501.97,10
2023-04-26,MCH-7678,Power Failure,Completed,21617.94,2
2023-10-09,MCH-1802,Power Failure,In Progress,23988.34,5
2021-04-15,MCH-8740,Power Failure,Cancelled,46591.73,11
2022-02-04,MCH-5498,Sensor Error,In Progress,37447.97,6
2025-12-23,MCH-5753,Wear and Tear,Pending,14668.78,8
2020-01-20,MCH-8245,Leakage,Cancelled,28391.54,6
2023-10-18,MCH-2563,Software Crash,Completed,12936.05,1
2025-10-31,MCH-3212,Mechanical Jam,Pending,22990.56,7
2024-07-25,MCH-4594,Calibration Issue,In Progress,10856.5,6
2023-02-04,MCH-9764,Overheating,Pending,6618.95,1
2020-05-04,MCH-2885,Calibration Issue,Cancelled,33770.9,2
2025-04-07,MCH-5828,Overheating,In Progress,46362.21,6
2022-01-03,MCH-1621,Sensor Error,In Progress,1313.2,1
2022-11-19,MCH-6287,Power Failure,Cancelled,9725.72,10
2022-03-05,MCH-4764,Power Failure,Pending,40837.3,4
2022-12-03,MCH-6812,Power Failure,In Progress,35438.59,4
2022-06-26,MCH-4863,Wear and Tear,Cancelled,22510.05,4
2025-10-18,MCH-8421,Power Failure,Completed,48705.53,11
2025-10-19,MCH-2957,Sensor Error,Cancelled,20208.18,3
2021-03-11,MCH-2366,Calibration Issue,Cancelled,9984.76,7
2021-08-29,MCH-1769,Sensor Error,Pending,515.91,9
2022-05-06,MCH-6455,Software Crash,Cancelled,32174.16,6
2024-11-11,MCH-4490,Overheating,Pending,23392.28,3
2022-06-18,MCH-9158,Wear and Tear,Cancelled,21667.84,4
2024-01-16,MCH-4816,Overheating,Completed,9666.72,10
2021-09-17,MCH-7209,Software Crash,In Progress,22690.28,9
2024-03-06,MCH-1227,Power Failure,Cancelled,20711.2,3
2022-06-27,MCH-4642,Power Failure,Cancelled,4393.5,4
2023-10-15,MCH-9505,Overheating,Cancelled,37304.1,7
2025-06-11,MCH-4661,Software Crash,Pending,1991.11,7
2025-11-10,MCH-6384,Power Failure,Completed,35229.81,8
2025-04-16,MCH-8594,Mechanical Jam,Pending,49820.15,1
2021-01-06,MCH-1040,Wear and Tear,In Progress,10163.22,12
2025-02-03,MCH-9916,Sensor Error,Cancelled,35737.66,3
2023-08-13,MCH-1905,Leakage,Cancelled,12756.75,1
2022-11-16,MCH-7258,Leakage,Completed,19536.27,2
2021-06-30,MCH-6142,Leakage,Cancelled,18371.14,12
2020-04-28,MCH-1172,Wear and Tear,Completed,19012.81,10
2022-10-19,MCH-6149,Leakage,In Progress,28794.08,1
2023-08-01,MCH-3406,Wear and Tear,Completed,31416.81,6
2024-11-03,MCH-3506,Power Failure,Pending,14049.89,8
2024-08-17,MCH-5761,Power Failure,Completed,43460.04,4
2023-11-27,MCH-1342,Mechanical Jam,Cancelled,20549.36,10
2022-05-20,MCH-6666,Overheating,In Progress,2612.62,6
2021-04-23,MCH-7004,Calibration Issue,Pending,27545.68,9
2020-05-29,MCH-7288,Sensor Error,Completed,42417.02,5
2024-06-26,MCH-6878,Power Failure,Pending,25110.42,12
2025-05-28,MCH-4785,Software Crash,In Progress,7015.48,10
2025-09-23,MCH-6660,Software Crash,Completed,3237.78,10
2023-03-10,MCH-1073,Leakage,In Progress,44715.93,3
2020-06-07,MCH-3817,Mechanical Jam,Completed,6256.48,1
2022-01-17,MCH-7131,Power Failure,Pending,36065.09,10
2021-03-08,MCH-2352,Calibration Issue,Pending,24876.29,1
2025-08-14,MCH-8512,Software Crash,Completed,31823.45,7
2022-11-05,MCH-5272,Leakage,Pending,35120.41,3
2021-04-08,MCH-4465,Sensor Error,In Progress,39811.45,7
2020-09-23,MCH-1224,Calibration Issue,Cancelled,43292.55,7
2025-12-19,MCH-6718,Mechanical Jam,Completed,779.23,5
2025-08-17,MCH-9333,Overheating,Completed,40461.39,9
2021-07-29,MCH-1860,Leakage,Completed,22976.9,1
2021-03-06,MCH-5372,Overheating,In Progress,34300.23,3
2022-11-21,MCH-3269,Overheating,Cancelled,44224.37,5
2024-03-30,MCH-5352,Overheating,In Progress,8850.62,4
2023-08-11,MCH-4891,Calibration Issue,Cancelled,32017.74,11
2023-02-01,MCH-2847,Calibration Issue,In Progress,14094.84,11
2020-12-11,MCH-9404,Power Failure,Cancelled,36830.91,8
2021-08-26,MCH-7745,Overheating,In Progress,20073.57,10
2021-09-23,MCH-8834,Leakage,In Progress,48733.99,3
2025-12-09,MCH-8970,Sensor Error,Pending,27191.18,12
2024-06-17,MCH-6779,Calibration Issue,Completed,27220.53,11
2020-07-09,MCH-3305,Power Failure,Pending,38438.77,5
2022-08-25,MCH-2880,Overheating,Completed,23336.43,5
2020-05-02,MCH-9749,Software Crash,In Progress,34018.58,9
2025-06-19,MCH-6098,Overheating,Cancelled,31756.16,4
2022-10-14,MCH-5927,Wear and Tear,Completed,43943.1,11
2023-05-22,MCH-9533,Sensor Error,Completed,37600.09,6
2022-09-21,MCH-3587,Software Crash,In Progress,46333.76,12
2021-06-04,MCH-8310,Leakage,Cancelled,46264.76,4
2022-09-04,MCH-2060,Calibration Issue,In Progress,19838.71,5
2023-03-06,MCH-6300,Leakage,Completed,47710.37,4
2020-10-26,MCH-7710,Leakage,Pending,27202.08,3
2025-09-09,MCH-9744,Power Failure,Cancelled,3332.19,3
2024-04-30,MCH-9549,Software Crash,In Progress,26312.47,5
2023-06-12,MCH-6559,Software Crash,Pending,3618.04,5
2023-07-07,MCH-1493,Wear and Tear,Pending,17820.53,9
2023-12-11,MCH-7067,Sensor Error,In Progress,5514.06,6
2024-01-17,MCH-8342,Sensor Error,In Progress,25942.36,11
2021-10-14,MCH-4954,Power Failure,Cancelled,15228.68,9
2025-08-01,MCH-2783,Power Failure,Pending,12040.63,6
2022-02-22,MCH-5252,Power Failure,In Progress,7749.62,10
2024-02-15,MCH-2941,Wear and Tear,Cancelled,20206.8,11
2022-10-26,MCH-6412,Overheating,Completed,42160.66,7
2024-07-27,MCH-9576,Overheating,Pending,36658.49,7
2025-04-20,MCH-4364,Software Crash,Completed,39502.98,6
2023-12-22,MCH-7024,Overheating,Pending,12312.11,6
2022-06-29,MCH-3826,Calibration Issue,Cancelled,28725.89,5
2020-05-18,MCH-2573,Mechanical Jam,In Progress,25960.4,4
2021-06-20,MCH-5319,Calibration Issue,Pending,43225.97,5
2023-04-24,MCH-5828,Mechanical Jam,Completed,3887.54,3
2024-08-15,MCH-2668,Calibration Issue,In Progress,45341.13,4
2023-12-24,MCH-8909,Leakage,In Progress,15109.88,10
2024-11-18,MCH-6387,Wear and Tear,In Progress,28346.02,4
2021-03-12,MCH-5591,Wear and Tear,Pending,17713.52,9
2020-07-17,MCH-4847,Overheating,Completed,36048.88,12
2023-06-04,MCH-8020,Calibration Issue,Completed,4410.28,12
2023-06-19,MCH-9251,Power Failure,Completed,5400.65,4
2020-03-08,MCH-7756,Sensor Error,Pending,30288.87,6
2020-03-18,MCH-7856,Wear and Tear,Cancelled,16349.36,8
2025-10-28,MCH-6644,Calibration Issue,Completed,24886.91,8
2023-10-20,MCH-7208,Overheating,Completed,46800.13,1
2024-03-28,MCH-4058,Software Crash,Cancelled,25552.57,5
2023-09-11,MCH-7471,Leakage,Completed,26020.94,12
2020-11-19,MCH-6682,Software Crash,In Progress,39654.86,9
2025-03-06,MCH-4161,Mechanical Jam,Pending,24951.87,10
2022-11-14,MCH-8117,Leakage,Pending,45068.92,2
2021-10-07,MCH-3909,Overheating,In Progress,44198.34,8
2021-02-23,MCH-8449,Mechanical Jam,Completed,15778.44,4
2023-02-24,MCH-5584,Overheating,In Progress,34823.0,6
2020-03-04,MCH-4825,Leakage,Completed,27728.72,8
2021-10-17,MCH-1850,Overheating,Completed,47611.75,7
2022-06-21,MCH-2215,Mechanical Jam,In Progress,49093.93,11
2021-08-31,MCH-2338,Leakage,Pending,16198.63,11
2025-06-18,MCH-6294,Calibration Issue,In Progress,32876.94,12
2022-04-01,MCH-3522,Mechanical Jam,Completed,29602.11,9
2023-11-06,MCH-2728,Wear and Tear,Cancelled,23838.63,9
2025-03-31,MCH-8138,Mechanical Jam,Cancelled,8866.67,1
2024-02-24,MCH-4090,Software Crash,Cancelled,8919.32,1
2020-06-03,MCH-8223,Calibration Issue,Cancelled,16678.3,6
2024-07-29,MCH-7754,Software Crash,Cancelled,39649.74,8
2024-07-29,MCH-7624,Overheating,In Progress,35721.33,5
2024-11-10,MCH-8293,Leakage,In Progress,588.14,1
2024-08-31,MCH-1393,Sensor Error,In Progress,4186.8,2
2020-06-03,MCH-3091,Mechanical Jam,Pending,46298.61,3
2024-11-10,MCH-2064,Wear and Tear,In Progress,37194.29,8
2025-12-28,MCH-3610,Sensor Error,Pending,22007.27,7
2020-10-04,MCH-8541,Overheating,Cancelled,33651.9,3
2020-11-20,MCH-7988,Wear and Tear,In Progress,18430.21,3
2022-01-21,MCH-6444,Software Crash,Pending,21529.58,8
2020-09-17,MCH-5778,Calibration Issue,Pending,20739.03,8
2025-01-08,MCH-5636,Wear and Tear,Cancelled,12713.91,1
2020-08-05,MCH-7839,Mechanical Jam,Pending,46112.19,12
2023-01-04,MCH-9962,Mechanical Jam,Cancelled,26218.93,9
2023-05-05,MCH-1456,Software Crash,Completed,35903.9,12
2023-11-24,MCH-2624,Leakage,Completed,8049.86,12
2021-10-28,MCH-4623,Software Crash,Cancelled,20900.2,10
2023-12-03,MCH-1432,Wear and Tear,Pending,13193.77,5
2022-09-25,MCH-8704,Leakage,In Progress,44190.91,8
2025-04-10,MCH-5115,Software Crash,Cancelled,47162.84,5
2024-11-30,MCH-7574,Calibration Issue,Cancelled,2691.0,10
2021-10-13,MCH-5430,Calibration Issue,Cancelled,32233.67,9
2025-01-07,MCH-2265,Software Crash,Completed,30295.1,5
2021-06-06,MCH-5637,Sensor Error,Completed,46173.65,11
2020-11-15,MCH-7949,Overheating,Cancelled,18013.69,9
2020-06-18,MCH-9238,Overheating,In Progress,38204.68,9
2023-12-19,MCH-2052,Mechanical Jam,Pending,25482.46,1
2023-05-17,MCH-6612,Leakage,In Progress,5537.15,11
2020-08-10,MCH-1264,Sensor Error,Completed,47082.1,4
2025-05-02,MCH-1769,Power Failure,In Progress,16795.76,10
2020-01-17,MCH-5588,Leakage,Pending,16143.29,6
2025-09-01,MCH-7928,Software Crash,Completed,5373.39,2
2024-08-30,MCH-5942,Wear and Tear,Cancelled,24581.42,2
2023-08-12,MCH-7741,Leakage,In Progress,34796.89,2
2021-03-19,MCH-5419,Overheating,In Progress,34646.96,10
2022-03-23,MCH-3888,Leakage,In Progress,32348.83,5
2025-02-03,MCH-3311,Software Crash,Cancelled,24754.5,2
2024-06-26,MCH-5484,Power Failure,Cancelled,8521.71,6
2021-10-12,MCH-9877,Mechanical Jam,Completed,41991.94,4
2024-09-29,MCH-4187,Leakage,In Progress,25334.98,11
2022-10-22,MCH-3473,Leakage,Completed,15701.12,4
2023-04-26,MCH-9262,Overheating,Pending,25698.0,5
2021-07-12,MCH-7536,Calibration Issue,Completed,47808.25,2
2020-10-20,MCH-5716,Power Failure,Completed,20884.03,4
2025-03-06,MCH-3366,Mechanical Jam,In Progress,22753.24,12
2020-03-08,MCH-9680,Power Failure,Cancelled,42899.57,11
2022-09-29,MCH-1707,Software Crash,Cancelled,49926.38,6
2022-07-09,MCH-9111,Power Failure,Completed,4515.55,1
2020-03-10,MCH-6506,Mechanical Jam,Pending,26677.6,6
2022-04-08,MCH-5401,Overheating,Pending,16225.98,3
2024-09-04,MCH-9572,Leakage,In Progress,44174.72,10
2025-04-08,MCH-8305,Wear and Tear,Completed,30181.55,5
2023-10-25,MCH-8518,Power Failure,In Progress,13010.46,1
2021-12-28,MCH-1811,Overheating,Cancelled,42429.53,1
2022-09-27,MCH-9029,Leakage,Cancelled,27444.95,8
2021-05-20,MCH-9441,Overheating,Cancelled,32975.17,12
2023-04-16,MCH-9461,Software Crash,Cancelled,12730.99,4
2025-01-08,MCH-9404,Power Failure,In Progress,3199.39,10
2022-01-22,MCH-5974,Wear and Tear,Completed,15754.89,3
2020-06-12,MCH-7380,Leakage,Completed,29790.19,8
2020-10-26,MCH-3086,Overheating,Pending,38186.48,11
2020-01-16,MCH-2992,Mechanical Jam,Completed,7495.89,2
2023-08-10,MCH-3332,Leakage,Pending,33698.29,7
2022-03-26,MCH-3424,Overheating,Completed,1803.79,8
2021-01-31,MCH-7363,Wear and Tear,In Progress,2220.44,11
2024-09-19,MCH-9297,Wear and Tear,Completed,36692.19,1
2024-12-17,MCH-8122,Software Crash,Pending,22300.59,5
2022-07-06,MCH-8662,Calibration Issue,Completed,14054.57,3
2022-02-26,MCH-1068,Leakage,Pending,15071.99,7
2022-03-24,MCH-9570,Calibration Issue,In Progress,13445.32,10
2023-08-25,MCH-4340,Leakage,Completed,48428.59,3
2023-09-09,MCH-4559,Leakage,Cancelled,42337.05,6
2021-09-08,MCH-7191,Sensor Error,In Progress,39897.26,2
2024-09-24,MCH-6847,Sensor Error,In Progress,29514.73,5
2022-05-18,MCH-8389,Calibration Issue,In Progress,37846.67,12
2022-12-04,MCH-1994,Calibration Issue,In Progress,42088.5,2
2022-04-21,MCH-9586,Leakage,Cancelled,31887.88,2
2022-01-27,MCH-1704,Overheating,Pending,32138.47,11
2020-05-15,MCH-7596,Overheating,Completed,16059.47,2
2021-05-18,MCH-1309,Power Failure,In Progress,41786.16,4
